abase	làm mất thể diện
instill	để tâm đến
instructive	dạy
insufficiency	suy
insufficient	không đủ
insular	trí thức hẹp hòi
insulate	cách điện
insuperable	không thể thắng nổi
insuppressible	không thể cản
insurgence	nổi lên
insurgent	dâng lên
insurrection	cuộc nổi loạn
intangible	vô hình
integrity	chính trực
intellect	trí tuệ
intellectual	trí tuệ
intelligence	Sự thông minh
intelligible	minh bạch
intemperance	không điều độ
intension	sự tăng thêm
intensive	chuyên sâu
intention	mục đích
interact	tương tác với nhau
intercede	Intercede
intercept	đánh chặn
intercession	sự can thiệp
intercessor	người can thiệp
interdict	lịnh cấm
interim	tạm thời
interlocutor	người ói chuyện
interlude	lớp kịch ngắn
intermediate	Trung gian
interminable	vô cùng
intermission	lúc tạm nghĩ
intermit	ngừng lại
intermittent	gián đoạn
interpolation	nội suy
interpose	can thiệp vào
interposition	sự can thiệp
interpreter	thông dịch viên
interrogate	chất vấn
interrogative	nghi vấn
interrogatory	lấy khẩu cung
interrupt	làm gián đoạn
intersect	giao nhau
intervale	khoảng cách
intervene	can thiệp vào
intestacy	intestacy
intestate	không có làm
intestine	ruột
intimacy	tình thân mật
intimidate	dọa nạt
intolerable	không chịu nổi
intolerance	không khoan dung
intolerant	tánh cố chấp
intoxicant	làm say
intoxicate	xông lên đầu
intracellular	nội bào
intramural	ở trong thành
intrepid	gan dạ
intricacy	lộn xộn
intricate	lộn xộn
intrigue	âm mưu
intrinsic	nội tại
introductory	mở đầu
introgression	introgression
intromit	intromit
introspect	nội quan
introspection	sự tự xét
introversion	hướng nội
introvert	sống nội tâm
intrude	nhét
intrusion	xâm nhập
intuition	trực giác
inundate	làm ngập
inundation	ngập lụt
inure	làm cho quen
invalid	không hợp lệ
invalidate	vô hiệu
invaluable	vô giá
invariable	không thay đổi
invasion	cuộc xâm lăng
invective	lời chửi rủa
inveigh	chưởi
inventive	phát minh
inverse	ngược
inversion	sự đảo ngược
invert	đảo ngược
investigator	người điều tra
investor	người đầu tư
inveterate	thâm căn cố đế
invidious	không ưa
invigorate	thêm sinh lực
invincible	bất khả chiến bại
inviolable	bất khả xâm phạm
invoke	invoke
involuntary	không tự nguyện
involution	sự co hồi
involve	liên quan
invulnerable	bất khả xâm phạm
inwardly	bên trong
iota	iota
irascible	có tánh nóng nảy
irate	giận dữ
ire	giận dữ
iridescence	màu ánh kim
iridescent	óng ánh
irk	khó chịu
irksome	irksome
irony	trớ trêu
irradiance	irradiance
irradiate	chiếu xạ
irrational	không hợp lý
irreducible	tối giản
irrefragable	irrefragable
irrefrangible	irrefrangible
irrelevant	không thích hợp
irreligious	không tôn giáo
irreparable	không thể khắc phục
irrepressible	irrepressible
irresistible	không thể cưỡng lại
irresponsible	vô trách nhiệm
irreverence	bất kính
irreverent	Khiếm nhã
irreverential	irreverential
irreversible	không thể đảo ngược
irrigant	tưới rửa
irrigate	tưới
irritable	dễ cáu bẳn
irritancy	Gây Ung Thư
irritant	Chất kích thích
irritate	kích thích
irruption	irruption
isle	hòn đảo
islet	cù lao
isobar	Isobar
isochronous	đẳng thời
isolate	isolate
isothermal	đẳng nhiệt
itinerant	lưu động
itinerary	hành trình
itinerate	itinerate
jargon	biệt ngữ
jaundice	bệnh vàng da
jeopardize	gây nguy hiểm
Jingo	thế à
jocose	đùa bỡn
jocular	hài hước
joggle	vấu nối
journalize	nội động từ
jovial	vui vẻ
jubilation	sự vui sướng
judgment	phán quyết
judicature	bộ máy tư pháp
judicial	tư pháp
judiciary	cơ quan tư pháp
judicious	khôn ngoan
juggle	tung hứng
jugglery	trò lừa gạt
jugular	tĩnh mạch cảnh
juicy	lý thú
junction	giao lộ
juncture	điểm gặp nhau
junta	hội đồng tư vấn
juridical	pháp lý
jurisdiction	quyền hạn
jurisprudence	luật học
juror	người đã tuyên thệ
joust	cưỡi ngựa đấu thương
justification	sự biện hộ
juvenile	vị thành niên
juxtapose	để kề nhau
keepsake	vật kỷ niệm
kerchief	khăn tay
kernel	hạt nhân
kiln	lò nung
kiloliter	kiloliter
kilometer	km
kilowatt	một ngàn watt
kimono	kimono
kind-hearted	hảo tâm
kingling	kingling
kingship	vương vị
kinsfolk	bà con
knavery	sự bất lương
knead	nhào
knickknack	knickknack
knight	Hiệp sỹ
knighthood	giai cấp
laborious	siêng năng
labyrinth	mê cung
lacerate	làm cho đau đớn
lackadaisical	làm bộ ỏng ẹo
lactation	cho con bú
lacteal	như sữa
lactic	lactic
laddie	thanh niên
ladle	lò nồi
laggard	chậm chạp
landholder	chủ đất
landlord	địa chủ
landmark	phong cảnh
landscape	phong cảnh
languid	uể oải
languor	sự yếu đuối
lapse	trôi đi
lascivious	đa dâm
lassie	con gái nhỏ
latent	ngầm
latency	độ trễ
later	một lát sau
lateral	ở bên
latish	hơi trể
lattice	mạng
laud	Laud
laudable	đáng khen ngợi
laudation	sự tán dương
laudatory	khen ngợi
laundress	người thợ giặt quần áo
laureate	đầu đội vòng hoa
lave	tắm rửa
lawgiver	nhà lập pháp
lawmaker	nhà làm luật
lax	không nghiêm
laxative	thuốc nhuận tràng
lea	đồng cỏ
leaflet	tờ rơi
leaven	căn nguyên
leeward	dưới gió
left-handed	thuận tay trái
legacy	di sản
legalize	làm cho hợp lệ
legging	legging
legible	rỏ ràng
legionary	thuộc về quân đoàn
legislate	lập pháp
legislative	lập pháp
legislator	nhà lập pháp
legitimacy	hợp pháp
legitimate	hợp pháp
leisure	giải trí
leniency	khoan dung
lenient	nhân hậu
leonine	thuộc về sư tử
lethargy	trạng thái hôn mê
levee	sự thức dậy
lever	đòn bẩy
leviathan	thủy quái khổng lồ
levity	không đứng đắn
levy	tiền
lewd	dâm dục
lexicographer	người nghiên cứu từ ngữ học
lexicography	ngữ học
lexicon	từ điển
liable	chịu trách nhiệm
libel	phỉ báng
liberalism	chủ nghĩa tự do
liberate	phóng thích
licentious	trụy lạc
licit	hợp pháp
liege	thần dân
lien	lien
lieu	thay vì
lifelike	giống như thật
lifelong	suốt đời
lifetime	cả đời
ligament	dây chằng
ligature	buộc
light-hearted	nhẹ dạ cả tin
ligneous	gổ
likelihood	khả năng
likely	rất có thể
liking	theo ý thích
limitation	sự hạn chế
linear	tuyến tính
liner	lót
lingo	tiếng lóng
lingua	ngữ
lingual	ngôn ngữ
linguist	ngôn ngữ học
linguistics	ngôn ngữ học
liniment	dầu xoa bóp
liquefacient	liquefacient
liquefy	Liquefy
liqueur	rượu mùi
liquidate	thanh lý
liquor	rượu
listless	thờ ơ
literacy	trình độ học vấn
literal	chữ
literature	văn chương
lithe	mềm mõng
lithesome	mềm
lithograph	in thạch bản
lithotype	lithotype
litigant	đương sự
litigate	kiện
litigious	tranh tụng
littoral	ở bờ biển
liturgy	phụng vụ
livelihood	kế sinh nhai
livid	xanh mét
loam	trét bằng đất sét
loath	không thích
loathe	không ưa
locative	thuộc về trường sở
loch	hồ
locomotion	sự vận động
lode	mạch mỏ
lodgment	ký thhác tiền bạc
logic	Hợp lý
logical	hợp lý
logician	nhà luận lý học
loiterer	người đi lang thang
loneliness	sự cô đơn
longevity	trường thọ
loot	đồ vật cướp được
loquacious	lắm lời
lordling	lordling
lough	cái hồ
louse	con rận
lovable	đáng yêu
low-spirited	buồn rầu
lowly	hèn mọn
lucid	sáng suốt
lucrative	có lợi
ludicrous	khôi hài
luminary	vật sáng chói
luminescent	phát quang
luminescence	phát quang
luminosity	tính phát quang
luminous	chói lọi
lunacy	hành động điên rồ
lunar	mặt trăng
lunatic	thuộc về người điên
lune	lune
lurid	trắng bệch
luscious	ngon
lustrous	bóng
luxuriance	sự tươi tốt
luxuriant	xum xê
luxuriate	sống trong cảnh xa hoa
lying	nói dối
lyre	thất huyền cầm
lyric	lời bài hát
macadamize	đắp nhiều lớp đá
machinery	máy móc thiết bị
machinist	thợ máy
macrocosm	vũ trụ bao la
madden	làm mất trí
Madonna	tranh của thánh mẫu
magician	nhà ảo thuật
magisterial	hống hách
magistracy	quan tòa
magnanimous	rộng lượng
magnate	đại thần
magnet	nam châm
magnetize	từ hóa
magnificence	sự lộng lẫy
magnificent	tráng lệ
magnitude	độ lớn
maharaja	Maharaja
maidenhood	cảnh độc thân
maintain	duy trì
maintenance	bảo trì
maize	bắp
makeup	trang điểm
malady	sự đau
malaria	bệnh sốt rét
malcontent	không bằng lòng
malediction	lời rủa
malefactor	người làm điều ác
maleficent	hiểm ác
malevolence	ác tâm
malevolent	xấu bụng
malign	hung tinh
malignant	ác tính
malleable	tánh dể sai khiến
mallet	vồ bằng cây
maltreat	hành hạ
man-trap	do con người bẫy
mandate	thi hành
mandatory	bắt buộc
mane	lông gáy
man-eater	người đàn ông ăn
maneuver	dùng mưu kế
mania	hưng
maniac	người khùng
manifesto	tuyên ngôn
manlike	tánh chất đàn ông
manliness	sự nam tính
mannerism	không tự nhiên
manor	lãnh địa
mantel	bệ trên lò sưởi
mantle	choàng
manufacturer	nhà chế tạo
manumission	sự phóng thích
manumit	phóng thích
marine	ở biển
maritime	hàng hải
maroon	Bỏ rơi
martial	võ
Martian	Hỏa
martyrdom	tử đạo
marvel	kỳ quan
masonry	nề
masquerade	giả mạo
massacre	tàn sát
massive	to lớn
masterpiece	kiệt tác
mastery	làm chủ
material	vật chất
materialize	cụ thể hoá
maternal	mẹ
matinee	buổi sáng
matricide	người giết mẹ
matrimony	hôn nhân
matrix	ma trận
matter	vấn đề
maudlin	hay khóc
mausoleum	lăng mộ
mawkish	lạt lẻo
maxim	châm ngôn
maze	mê cung
mead	đồng cỏ
meager	sơ sài
mealy-mouthed	ăn nói ngọt ngào
meander	quanh co
mechanics	cơ học
medallion	huy chương lớn
meddlesome	hay xen vào việc của người khác
medial	trung gian
mediate	trung gian
medicine	thuốc
medieval	trung cổ
mediocre	tầm thường
meditation	thiền
medley	trộn lộn
meliorate	sửa cho tốt
mellifluous	ngọt ngào
melodious	du dương
melodrama	nhạc kịch xưa
memento	kinh ký niệm
memorable	đáng ghi nhớ
menace	đe dọa
menagerie	thú trong chuồng của gánh hát xiệc
mendacious	nói láo
mendicant	sự ăn xin
mentality	tâm trạng
mentor	người hướng dẫn
mercantile	con buôn
mercenary	lính đánh thuê
merciful	từ bi
merciless	tàn nhẫn
meretricious	hào nháng
mesmerize	thôi miên
messieurs	messieurs
metal	kim loại
metallurgy	luyện kim
metamorphosis	sự biến hình
metaphor	ẩn dụ
metaphysical	siêu hình
metaphysician	người chuyên về siêu hình học
metaphysics	hình nhi thượng học
mete	đo
metempsychosis	thuyết luân hồi
meticulous	tỉ mỉ
metonymy	phép hoán dụ
metric	Hệ mét
metronome	máy nhịp
metropolis	thủ đô
metropolitan	đô thị
mettle	dũng khí
mettlesome	hăng hái
microcosm	ống kính hiển vi
micrometer	thước trắc vi
microphone	cái mic cờ rô
microscope	kính hiển vi
microscopic	vi
microscopy	kính hiển vi
midsummer	khoảng giữa mùa hè
midwife	nữ hộ sinh
mien	mien
migrant	nhập cư
migrate	di cư
migratory	di trú
mileage	dặm
militant	chiến đấu
militarism	chũ nghĩa quân phiệt
militate	làm chứng
militia	lực lượng dân vệ
Milky	thuộc về sữa
millet	cây kê
mimic	bắt chước
miniature	thu nhỏ
minimize	hạn chế tối đa
minion	thương yêu
ministration	sự chăm nom
ministry	Bộ
minority	thiểu số
minute	phút
minutia	minutia
mirage	ảo ảnh
misadventure	việc rủi ro
misanthropic	hận người
misanthropy	tánh ghét đời
misapprehend	hiểu lầm
misbehave	cư xừ không đứng đắng
misbehavior	phẩm hạnh không tốt
mischievous	tinh nghịch
miscount	tính sai
miscreant	hư
misdeed	hành động xấu
misdemeanor	điều lăng nhục
miser	người bủn xỉn
mishap	sự rủi ro
misinterpret	giải thích sai
mislay	làm lạc mất
mismanage	giám đốc dở
misnomer	sự lộn tên
misogamy	sự ghét kết hôn
misogyny	tánh ghét đàn bà
misplace	để lộn chổ
misrepresent	trình bày không đúng
misrule	vô tổ chức
missal	sách lể
missile	hỏa tiễn
missive	thơ chánh thức
mistrust	ngờ vực
misty	mơ hồ
misunderstand	hiểu sai
misuse	lạm dụng
mite	đứa bé
miter	mũ của giám mục
mitigate	Giảm thiểu
mnemonics	thuật ký ức
moat	hào sâu
mobocracy	mobocracy
moccasin	giày làm bằng da nai
mockery	sự nhạo báng
moderation	sự tiết chế
moderator	người điều hành
modernity	hiện đại
modernize	hiện đại hóa
modification	sự sửa đổi
modify	Sửa
modish	hợp thời trang
modulate	ngâm nga
mollify	làm người nào nguôi
molt	thay lông
momentary	tạm thời
momentous	quan trọng
momentum	Quán tính
monarchy	chế độ quân chủ
monastery	tu viện
monetary	tiền tệ
mongrel	thú lai
monition	lời rao
monitory	lời giáo huấn
monocracy	monocracy
monogamy	chế độ một vợ
monogram	hai hoặc nhiều chữ kết lại thành một
monograph	chuyên khảo
monolith	bia làm bằng nguyên một khối đá
monologue	độc thoại
monomania	chứng chấp cuồng
monopoly	sự độc quyền
monosyllable	tiếng đơn âm
monotone	giọng bằng bằng
monotonous	đơn điệu
monotony	sự không thay đổi
monsieur	Ngài
monstrosity	kỳ quái
moonbeam	tia sáng trăng
morale	đạo đức
moralist	nhà đạo đức học
morality	đạo đức
moralize	nói về luân lý
moratorium	lệnh cấm
morbid	thuộc về bịnh
mordacious	mordacious
mordant	thuốc ăn màu
moribund	hấp hối
morose	buồn rầu
morphology	hình thái học
motley	các màu khác nhau
motto	châm ngôn
mountaineer	dân miền núi
mountainous	miền núi
mouthful	một họng
muddle	làm lộn xộn
muffle	múp
mulatto	nước da ngâm mgâm
muleteer	người dắt la
multiform	có nhiều hình trạng
multiplicity	số nhiều
mundane	trần tục
municipal	thành phố
municipality	thành phố
munificence	lòng khoan hồng
munificent	khoan hồng
muster	Tập hợp
mutation	sự thay đổi
mutilate	làm hư hỏng
mutiny	nổi loạn
myriad	vô số
mystic	huyền bí
mystification	sự bao trùm bí mật
myth	chuyện thần thoại
mythology	chuyện thần thoại
nameless	không tên
naphtha	dầu hỏa
Narcissus	cây thủy tiên
narrate	Narrate
narration	sự thuật lại
narrative	tường thuật
narrator	người dẫn chuyện
narrow-minded	trí đần độn
nasal	mũi
natal	natal
nationality	Quốc tịch
naturally	một cách tự nhiên
nausea	buồn nôn
nauseate	gớm
nauseous	làm nôn mửa
nautical	hải lý
naval	hải quân
navel	lỗ rốn
navigable	điều hướng
navigate	điều hướng
nebula	tinh vân
necessary	cần thiết
necessitate	bắt buộc
necessity	điều cần thiết
necrology	bộ tử
necromancer	thầy chiêu hồn
necropolis	mộ địa
necrosis	chứng hoại tử
nectar	rượu tiên
nectarine	cây xuân đào
needlework	công việc may vá
needy	người túng thiếu
nefarious	người nham hiểm
negate	phủ nhận
negation	sự phủ nhận
neglectful	bỏ bê
negligee	negligee
negligence	thiếu trách nhiệm
negligent	không lo
negligible	không đáng kể
negotiable	thương lượng
Nemesis	Nemesis
neocracy	neocracy
neo-Darwinsim	tân Darwinsim
neo-Latin	neo-Latin
neopaganism	neopaganism
Neolithic	thuộc về tân thạch khí thời đại
neology	dùng chữ mới
neophyte	tân đảng viên
nestle	chổ ẩn núp
nestling	chim con còn trong ổ
nettle	cây tầm ma
network	mạng
neural	thần kinh
neurology	thần kinh học
neuter	thiến
neutral	Trung tính
nevertheless	Tuy nhiên
Newtonian	thuyết học Newton
niggardly	bủn xỉn
nihilist	hư vô chủ nghĩa
nil	không
nimble	lanh lợi
nit	trứng chí
nocturnal	đêm
noiseless	không ồn ào
noisome	cây độc
noisy	ồn ào
nomad	nay đây mai đó
nomic	nomic
nominal	trên danh nghĩa
nominate	đề cử
nomination	sự đề cử
nominee	đề cử
non-existent	không tồn tại
non-resident	không thường trú
nonchalance	tánh lãnh đạm
non-combatant	người không tác chiến
nondescript	khó nhận
nonentity	trạng thái không có
nonpareil	vô song
norm	qui tắc
normalcy	tính chất thông thường
Norman	người Norman
nostrum	thuốc của lang băm
noticeable	đáng chú ý
notorious	khét tiếng
novellette	novellette
novice	chú tiểu
nowadays	ngày nay
nowhere	hư không
noxious	có hại
nuance	nuance
nucleus	nhân tế bào
nude	khỏa thân
nugatory	vô giá trị
nuisance	làm phiền
numeration	phép đếm
numerical	bằng số
nunnery	tu viện
nuptial	thuộc về hôn nhân
nurture	dưỡng dục
nutriment	đồ ăn bổ dưỡng
nutritive	chất dinh dưỡng
oaken	thuộc về cây sồi
oakum	xơ gai
obdurate	tánh ngoan cố
obelisk	cây giống hình tiêm bi
obese	Béo phì
obesity	béo phì
obituary	cáo phó
objective	mục tiêu
objector	người phản đối
obligate	bắt buộc
obligatory	bắt buộc
oblique	xiên
obliterate	bôi
oblivion	lãng quên
oblong	hình chữ nhựt
obnoxious	khó ưa
obsequies	đám tang
obsequious	khúm núm
observance	chấp hành
observant	quan sát
observatory	đài thiên văn
obsolescence	không dùng nữa
obsolescent	không dùng nữa
obsolete	lỗi thời
obstetrician	người đở sanh
obstetrics	sản khoa học
obstinacy	tánh ương ngạnh
obstreperous	huyên náo
obstruct	gây trở ngại
obstruction	cản trở
obtrude	ép
obtrusive	quấy rầy
obvert	obvert
obviate	phòng ngừa
occasion	dịp
Occident	phương tây
occlude	hút vào
occult	bí ẩn
occupant	người có việc làm
occurrence	tần suất xảy ra
octagon	hình tám góc
octave	đoạn thơ tám câu
octavo	octavo
octogenarian	già tám mươi tuổi
ocular	thuộc về mắt
oculist	thầy thuốc chữa bịnh mắt
oddity	vật kỳ quái
ode	bài thơ ngắn để hát
odious	đáng ghét
odium	chê bai
odoriferous	có mùi thơm
odorous	thơm
off	tắt
offhand	ngay
officiate	hành lể
officious	sốt sắng
offshoot	chồi cây
ogre	ông kẹ
ointment	thuốc mở
olfactory	khứu giác
olive-branch	Cành oliu
ominous	điềm xấu
omission	bỏ xót
omnipotence	sức vạn năng
Omnipotent	thượng đế
omniscience	toàn trí
omniscient	toàn trí
omnivorous	ăn tất cả mọi thứ
onerous	nặng
onrush	xông tới
onset	tấn công
onslaught	tấn công
onus	trách nhiệm
opalescence	opan
opaque	mờ mịt
operate	vận hành
operative	operative
operator	nhà điều hành
operetta	operetta
opinion	ý kiến
opponent	phản đối
opportune	hợp thời
opportunist	người cơ hội
opportunity	dịp tốt
opposite	đối diện
opprobrium	điều sĩ nhục
optic	thị giác
optician	người làm kiến ​​đeo mắt
optics	quang học
optimism	lạc quan
option	Lựa chọn
optometry	khúc xạ nhãn khoa
opulence	phong phú
opulent	phong phú
oral	miệng
orate	nói dai
oration	bài diển văn
orator	người diển thuyết
oratorio	tôn giáo nhạc kịch
oratory	tài hùng biện
ordeal	thử thách
ordinal	thứ tự
ordination	phối
ordnance	sở quân dụng
orgies	orgies
origin	gốc
original	nguyên
originate	bắt đầu
ornate	văn hoa
orthodox	chánh thống
orthodoxy	sự chánh thống
orthogonal	trực giao
orthopedic	chỉnh hình
orthopedist	chỉnh hình
oscillate	dao động
osculate	hôn nhau
ossify	thành chai
ostentation	phô trương
ostracism	sự lưu đày
ostracize	lưu đày
ought	phải
oust	trục xuất
out-and-out	ra-và-out
outbreak	sự bùng phát
outburst	sự bùng nổ
outcast	bỏ bơ vơ
outcry	phản đối
outdo	làm giỏi hơn
outlandish	lạ lùng
outlast	lâu hơn
outlaw	ngoài vòng pháp luật
outlive	còn sống
out-of-the-way	ở xa
outpost	tiền đồn
outrage	xúc phạm
outrageous	tàn nhẫn
outreach	tiếp cận cộng đồng
outride	cởi ngựa mau hơn
outrigger	Outrigger
outright	ngay
outskirt	ngoại ô
outstretch	outstretch
outstrip	vượt qua
outweigh	lớn hơn
overdo	làm quá sức
overdose	quá liều
overeat	ăn quá độ
overhang	phần lồi ra
overleap	nhảy qua
overlord	bá Vương
overpass	đi ngang qua
overpay	trả nhiều quá
overpower	Overpower
overproduction	sản xuất nhiều quá
overreach	sự đánh lừa
overrun	tràn ngập
oversee	trông nom
overseer	người giám thị
overshadow	che lấp
overstride	overstride
overthrow	lật đổ
overtone	họa âm
overture	sự bắt đầu
overweight	thừa cân
pacify	hòa bình
packet	gói
pact	hiệp ước
pagan	ngoại đạo
pageant	cảnh lịch sử
palate	khẩu cái
palatial	nguy nga
paleontology	cổ sinh vật học
palette	bảng
palinode	sự cải chính
pall	vô vị
palliate	làm dịu bớt
pallid	xanh nhợt
palpable	rỏ ràng
palsy	tình trạng vô hiệu
paly	phai màu
pamphlet	cuốn sách nhỏ
pamphleteer	người viết bài luận ngắn
panacea	thuốc trị bá bịnh
Pan-American	Thuộc về người Mỹ gốc Panama
pandemic	đại dịch
pandemonium	chổ lộn xộn
panegyric	lời khen
panel	bảng điều khiển
panic	hoảng loạn
panoply	đồ vỏ trang
panorama	panorama
pantheism	phiếm thần luận
Pantheon	đền
pantomime	kịch câm
pantoscope	pantoscope
papacy	chức vị giáo hoàng
papyrus	cây chỉ thảo
parable	ngụ ngôn
paradox	nghịch lý
paragon	hột kim cương
parallel	song song, tương đông
parallelism	xử lý song song
paralysis	tê liệt
paralyze	tê liệt
paramount	tối quan trọng
paramour	tình nhân
paraphernalia	tài sản cá nhân
paraphrase	diễn giải
pare	bóc vỏ
parentage	tư cách bà con
Pariah	pariah
parish	giáo khu
Parisian	dân Ba lê
parity	Ngang bằng
parlance	cách nói
parley	đàm phán
parliament	nghị viện
parlor	phòng khách
parody	Chế
paronymous	paronymous
paroxysm	cực điểm
parricide	tội giết cha mẹ
parse	phân tích cú pháp
parsimonious	bủn xỉn
partible	thiên vị
participant	người tham gia
participate	tham dự
partition	vách ngăn
partisan	thân binh
passible	passible
passive	thụ động
pastoral	mục vụ
paternal	nội
paternity	tư cách làm cha
pathos	sự nói cảm động
patriarch	tộc trưởng
patrician	quí tộc
patrimony	di sản
patriotism	lòng ái quốc
patronize	bảo trợ
patronymic	thuộc về họ trong gia đình
patter	nói trôi chảy
paucity	số tối thiểu
pauper	người bần cùng
pauperism	tình trạng bần cùng
pavilion	lều
payee	người thụ hưởng
peaceable	có thể thái bình
peaceful	bình yên
peccable	dể lầm lổi
peccadillo	lổi nhẹ
peccant	có lổi
pectoral	tấm giáp che ngực
pecuniary	thuộc về tiền bạc
pedagogics	giáo dục học
pedagogue	giáo sư
pedagogy	sư phạm
pedal	bàn đạp
pedant	nhà giáo
peddle	Peddle
pedestal	bệ đỡ
pedestrian	người đi bộ
pediatrics	sự kê gian
pedigree	tiền nhân
peddler	người bán rong
peerage	đẳng cấp
peerless	không ai bằng
peevish	gắt gỏng
pellucid	trong suốt
penalty	hình phạt
penance	gia tội
penchant	thiên hướng
pendant	mặt dây chuyền
pendulous	lung lay
pendulum	quả lắc đồng hồ
penetrable	có thấm vào
penetrate	xâm nhập
penetration	thâm nhập
peninsular	dân ở bán đảo
penitence	sự ăn năn
penitential	thuộc về ăn năn
pennant	cờ hiệu
pension	tiền cấp dưỡng
pentagram	Pentagram
pentavalent	pentavalent
pentad	thời gian năm năm
pentagon	Hình năm góc
pentahedron	hình khối năm mặt
pentameter	câu thơ năm chữ
pentathlon	năm thứ thể thao ở hy lạp
penultimate	trước vần chót
penurious	không màu mở
penury	cảnh cơ hàn
perambulate	đi thanh tra
perceive	Nhận thức
perceptible	có thể nhận ra
perception	sự nhận thức
percipience	percipience
percipient	tri giác
percolate	thấm qua
percolator	cái đồ lọc nước
percussion	bộ gõ
peremptory	quả quyết
perennial	vĩnh cửu
perfectible	có thể làm xong
perfidy	sự bội tín
perforate	khoan lổ
perform	biểu diễn
perfumery	nước hoa
perfunctory	làm cho có lệ
perhaps	có lẽ
perigee	điểm cận địa
periodicity	tính tuần hoàn
peripatetic	người bán rong
perjure	perjure
perjury	trái với lời thề
permanence	sự có luôn luôn
permanent	dài hạn
permeate	thấm nhập
permissible	có thể chấp nhận
permutation	sự hoán vị
pernicious	nguy hiểm
perpendicular	thẳng góc
perpetrator	người phạm tội
perpetuate	làm cho lâu dài
perquisite	lợi bất kỳ
persecution	áp bức
perseverance	kiên trì
persevere	bền lòng
persiflage	lời nhạo báng
persist	kiên gan
persistence	kiên trì
personage	nhân vật
personal	cá nhân
personality	nhân cách
personnel	nhân viên
perspective	Góc nhìn cá nhân
perspicacious	sáng suốt
perspicacity	sự thông minh
perspicuous	dể hiểu
perspiration	sự đổ mồ hôi
perspire	ra mồ hôi
persuade	truy vấn
persuadable	có thể tin
pertinacious	bướng bỉnh
pertinacity	tánh cứng đầu
pertinent	thích hợp
perturb	gây sự
perturbation	sự bối rối
perusal	sự chăm chú
pervade	ngấm vào
pervasion	sự xâm nhập
pervasive	tràn lan
perverse	ngoan cố
perversion	sự lạc đường
perversity	sự cau có
pervert	kẻ biến thái
pervious	dể qua
pestilence	bịnh dịch hạch
pestilent	hại
pestilential	thuộc về bịnh dịch hạch
peter	peter
petrify	Petrify
petulance	tánh nóng nảy
petulant	nóng nảy
pharmacopoeia	số thuốc dự trữ
pharmacy	tiệm thuốc
phenomenal	hiện tượng
phenomenon	hiện tượng
philander	tan gai
philanthropic	từ thiện
philanthropist	từ thiện
philanthropy	lòng thương người
philately	sự sưu tầm tem thơ
philharmonic	thích âm nhạc
philogynist	philogynist
philologist	nhà ngôn ngữ học
philology	ngôn ngữ học
philosophize	bàn luận
philosophy	triết học
phlegmatic	Lãnh đạm
phonetic	ngữ âm
phonic	thuộc về ngữ âm
phonogram	bản ghi âm
phonology	phát âm học
phosphorescence	lân
photoelectric	quang điện
photometer	quang kế
photometry	phép trắc quang
physicist	nhà vật lý học
physics	vật lý
physiocracy	Chủ nghĩa trọng nông
physiognomy	thuật xem tướng mạo
physiography	physiography
physiology	sinh lý học
physique	thể chất
picayune	Picayune
piccolo	ống sáo nhỏ
piece	cái
piecemeal	từng miếng
pillage	cướp bóc
pillory	bêu xấu
pincers	kìm
pinchers	kìm kẹp
pinnacle	đỉnh núi
pioneer	tiên phong
pious	sùng đạo
pique	khiêu gợi
piteous	đáng thương hại
pitiable	đáng thương hại
pitiful	thương tâm
pitiless	không đáng thương
pittance	tiền công rất ít
placate	điều đình
placid	yên lặng
plagiarism	đạo văn
planisphere	bình đồ địa
plasticity	tính nắn được
platitude	tính cách tầm thường
plaudit	một tràng vổ tay
plausible	có vẻ hợp lý
playful	vui tươi
playwright	nhà viết kịch
plea	sự biện hộ
pleasant	hài lòng
pleasurable	vui vẻ
plebeian	thuộc về hạng bình dân
pledgee	người nhận cầm đồ
pledgeor	pledgeor
plenary	toàn thể
plenipotentiary	được chủ quyền
plenitude	sự phong phú
plenteous	mầu mở
plumb	thẳng
plummet	dây chì
pluperfect	đại quá khứ
plural	số nhiều
plurality	đa số
plutocracy	chế độ tài phiệt
pneumatic	khí nén
poesy	poesy
poetaster	thi sĩ xoàng
poetic	thơ
poetics	thơ
poignancy	sự cay
poignant	chua cay
poise	sự cân nhau
polar	cực
polemics	sự tranh luận
pollen	phấn hoa
pollute	ô nhiễm
polyarchy	polyarchy
polycracy	polycracy
polygamy	tình trạng nhiều vợ hoặc chồng
polyglot	có nhiều thứ tiếng
polygon	đa giác
polyhedron	khối có nhiều mặt
polysyllable	chữ nhiều âm
polytechnic	thuộc về bách nghệ
polytheism	tôn sùng nhiều thần thánh
pommel	đốc gươm
pomposity	sự tự phụ
pompous	kiêu ngạo
ponder	suy ngẫm
ponderous	nặng
pontiff	giáo hoàng
populace	quần chúng
populous	đông dân
portend	báo trước
portent	điềm xấu
portfolio	danh mục đầu tư
posit	thỉnh cầu
position	Chức vụ
positive	tích cực
posse	đội cảnh sát
possess	có
possession	chiếm hữu
possessive	trường hợp chiếm hửu
possessor	người sở hửu
possible	khả thi
postdate	Ngay gưỉ
posterior	sau
postgraduate	sau đại học
postscript	tái bút
potency	mạnh
potent	mạnh
potentate	vua chuyên chế
potential	tiềm năng
potion	potion
powerless	bất lực
practicable	có thể thực hiện
prate	làm mất thì giờ
prattle	nói lảm nhảm
preamble	lời nói đầu
